64
#x	y	position for each electrode
0.00	0.00
0.25	0.00
0.50	0.00
0.75	0.00
1.00	0.00
1.25	0.00
1.50	0.00
1.75	0.00
2.00	0.00
2.25	0.00
2.50	0.00
2.75	0.00
3.00	0.00
3.25	0.00
3.50	0.00
3.75	0.00
4.00	0.00
4.25	0.00
4.50	0.00
4.75	0.00
5.00	0.00
5.25	0.00
5.50	0.00
5.75	0.00
6.00	0.00
6.25	0.00
6.50	0.00
6.75	0.00
7.00	0.00
7.25	0.00
7.50	0.00
7.75	0.00
8.00	0.00
8.25	0.00
8.50	0.00
8.75	0.00
9.00	0.00
9.25	0.00
9.50	0.00
9.75	0.00
10.00	0.00
10.25	0.00
10.50	0.00
10.75	0.00
11.00	0.00
11.25	0.00
11.50	0.00
11.75	0.00
12.00	0.00
12.25	0.00
12.50	0.00
12.75	0.00
13.00	0.00
13.25	0.00
13.50	0.00
13.75	0.00
14.00	0.00
14.25	0.00
14.50	0.00
14.75	0.00
15.00	0.00
15.25	0.00
15.50	0.00
15.75	0.00
2693
#a	b	m	n	rho	err/%
7	25	9	11	25.048500	0.250835
7	61	25	31	0.707571	3.053163
5	23	13	15	3.054010	0.837507
7	16	14	15	29.975800	0.237444
1	46	26	31	0.658452	3.268287
7	16	11	12	13.056300	0.325657
7	34	22	25	0.771303	2.814879
43	52	50	51	12.225200	0.336282
10	37	13	16	17.814200	0.283916
7	16	8	9	34.377300	0.228729
32	59	35	38	3.309750	0.785881
17	62	37	42	0.751489	2.884631
6	60	48	54	1.713420	1.360258
11	56	26	31	0.792793	2.743168
43	52	47	48	1.710980	1.361957
6	60	36	42	0.728454	2.970492
43	52	46	47	0.976086	2.259851
6	60	30	36	0.658440	3.268344
8	62	50	56	2.091240	1.145104
2	47	37	42	2.043190	1.168050
6	60	18	24	2.470180	0.995421
9	54	44	49	1.992590	1.193410
3	39	31	35	2.797630	0.898736
11	47	23	27	0.833543	2.617341
6	51	16	21	4.120040	0.664632
21	30	25	26	1.946310	1.217760
11	56	46	51	2.229060	1.084775
6	42	34	38	2.368600	1.030847
6	42	30	34	1.149470	1.944527
6	42	22	26	0.616864	3.477211
23	59	43	47	0.845412	2.582973
6	42	14	18	4.966020	0.580263
7	43	19	23	2.094430	1.143617
24	60	40	44	0.719649	3.004764
38	47	42	43	1.440860	1.585532
9	36	18	21	3.905150	0.691885
6	33	21	24	0.945365	2.327784
30	48	34	36	1.684790	1.380495
11	38	17	20	8.476440	0.410098
18	54	38	42	0.862719	2.534554
35	44	42	43	7.218390	0.452052
35	44	37	38	3.916060	0.690429
30	39	37	38	11.607700	0.345161
11	29	25	27	4.355010	0.637911
6	33	18	21	2.384260	1.025189
8	62	44	50	0.875083	2.501136
19	55	27	31	1.448100	1.578452
6	33	15	18	3.653560	0.727866
23	50	41	44	1.214740	1.849145
6	60	12	18	9.392980	0.386609
6	33	9	12	20.368100	0.269554
1	46	16	21	1.716230	1.358309
2	47	17	22	1.769880	1.322269
9	54	14	19	12.336800	0.334772
9	45	13	17	14.284500	0.312219
1	37	13	17	1.839470	1.278653
3	21	5	7	34.883500	0.227868
6	15	11	12	14.619100	0.308950
8	53	18	23	3.492910	0.753553
35	53	45	47	1.367420	1.661589
3	12	8	9	11.961400	0.339963
6	51	11	16	11.903500	0.340792
2	56	44	50	1.556350	1.480445
7	34	16	19	3.864400	0.697395
30	39	31	32	8.694420	0.404062
10	37	25	28	0.899389	2.438120
3	57	15	21	2.694380	0.926685
3	30	15	18	2.073790	1.153314
9	45	33	37	1.120630	1.990212
39	57	43	45	1.507260	1.523145
3	21	17	19	16.842500	0.290524
30	57	39	42	1.128530	1.977465
11	47	27	31	0.764335	2.838996
6	15	7	8	39.306500	0.221286
8	62	14	20	10.185600	0.369704
1	10	4	5	11.720400	0.343470
8	44	20	24	1.674880	1.387661
17	35	27	29	1.206790	1.860211
3	12	6	7	13.763000	0.317632
9	27	23	25	3.844260	0.700161
20	29	25	26	2.181450	1.104754
2	56	32	38	0.671546	3.207864
11	47	39	43	2.324610	1.047149
19	55	39	43	0.894600	2.450266
8	26	14	16	5.091300	0.570152
2	56	26	32	0.596097	3.592451
41	50	42	43	8.497130	0.409512
5	41	13	17	4.127600	0.663725
34	43	41	42	8.092090	0.421531
34	43	36	37	3.444780	0.761715
29	38	36	37	6.963970	0.462379
2	56	20	26	0.822603	2.649897
33	51	39	41	1.580860	1.460118
7	34	13	16	6.545980	0.481089
2	56	8	14	9.256280	0.389817
14	41	35	38	2.845980	0.886345
16	34	22	24	1.472080	1.555498
13	31	19	21	6.597510	0.478655
6	15	13	14	29.752200	0.237956
7	52	22	27	0.676045	3.187643
1	55	7	13	9.031160	0.395312
2	47	12	17	2.906990	0.871297
46	55	51	52	3.124460	0.822442
22	40	34	36	1.735130	1.345358
1	28	10	13	2.834170	0.889332
19	37	21	23	19.503100	0.273997
43	61	53	55	1.171100	1.911741
38	56	48	50	0.799420	2.721832
9	45	29	33	0.886780	2.470379
1	37	29	33	2.835800	0.888919
23	32	27	28	1.788320	1.310381
41	59	51	53	0.742447	2.917699
2	47	7	12	12.010800	0.339261
4	49	14	19	3.391610	0.771001
12	48	20	24	3.772750	0.710222
33	60	36	39	3.358350	0.776959
18	63	38	43	0.731306	2.959568
33	42	36	37	2.093120	1.144227
1	55	25	31	0.576074	3.711429
9	63	27	33	0.762136	2.846699
7	25	15	17	3.391390	0.771040
1	28	19	22	1.972370	1.203909
2	38	6	10	16.344200	0.294218
24	42	34	36	1.176910	1.903139
6	60	24	30	0.689887	3.127084
